nr. sessions,total km,km Z3-4,km Z5-T1-T2,km sprinting,strength training,hours alternative,perceived exertion,perceived trainingSuccess,perceived recovery,nr. sessions.1,total km.1,km Z3-4.1,km Z5-T1-T2.1,km sprinting.1,strength training.1,hours alternative.1,perceived exertion.1,perceived trainingSuccess.1,perceived recovery.1,nr. sessions.2,total km.2,km Z3-4.2,km Z5-T1-T2.2,km sprinting.2,strength training.2,hours alternative.2,perceived exertion.2,perceived trainingSuccess.2,perceived recovery.2,nr. sessions.3,total km.3,km Z3-4.3,km Z5-T1-T2.3,km sprinting.3,strength training.3,hours alternative.3,perceived exertion.3,perceived trainingSuccess.3,perceived recovery.3,nr. sessions.4,total km.4,km Z3-4.4,km Z5-T1-T2.4,km sprinting.4,strength training.4,hours alternative.4,perceived exertion.4,perceived trainingSuccess.4,perceived recovery.4,nr. sessions.5,total km.5,km Z3-4.5,km Z5-T1-T2.5,km sprinting.5,strength training.5,hours alternative.5,perceived exertion.5,perceived trainingSuccess.5,perceived recovery.5,nr. sessions.6,total km.6,km Z3-4.6,km Z5-T1-T2.6,km sprinting.6,strength training.6,hours alternative.6,perceived exertion.6,perceived trainingSuccess.6,perceived recovery.6,Athlete ID,injury,Date
1,5.8,0,0.6,1.2,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1.08,0.08,0,0.18,1,16.4,10,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1,0.1,0,0.15,0,0,0
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1.08,0.08,0,0.18,1,16.4,10,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1,0.1,0,0.15,1,5.2,0,0.5,1.2,0,0,0.1,0,0.17,0,0,1
1,0,0,0,0,1,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1.08,0.08,0,0.18,1,16.4,10,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1,0.1,0,0.15,1,5.2,0,0.5,1.2,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,2
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1.08,0.08,0,0.18,1,16.4,10,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1,0.1,0,0.15,1,5.2,0,0.5,1.2,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,0,0,3
1,0,0,0,0,0,1.08,0.08,0,0.18,1,16.4,10,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1,0.1,0,0.15,1,5.2,0,0.5,1.2,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,17.6,7.2,0,0,0,0,0.11,0,0.17,0,0,4
1,16.4,10,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1,0.1,0,0.15,1,5.2,0,0.5,1.2,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,17.6,7.2,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.08,0,0.17,0,0,5
1,0,0,0,0,0,1,0.1,0,0.15,1,5.2,0,0.5,1.2,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,17.6,7.2,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.08,0,0.17,1,10.5,6.5,0,0,0,0,0.09,0,0.18,0,0,6
1,5.2,0,0.5,1.2,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,17.6,7.2,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.08,0,0.17,1,10.5,6.5,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,7
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,17.6,7.2,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.08,0,0.17,1,10.5,6.5,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.8,0.6,0,1.2,0,0,0.11,0,0.18,0,0,8
1,0,0,0,0,1,0,0.1,0,0.17,1,17.6,7.2,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.08,0,0.17,1,10.5,6.5,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.8,0.6,0,1.2,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,9
1,17.6,7.2,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.08,0,0.17,1,10.5,6.5,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.8,0.6,0,1.2,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,0,0,10
1,0,0,0,0,0,1,0.08,0,0.17,1,10.5,6.5,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.8,0.6,0,1.2,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,10.1,2.8,0,0,0,0,0.11,0,0.16,0,0,11
1,10.5,6.5,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.8,0.6,0,1.2,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,10.1,2.8,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,0,0,12
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.8,0.6,0,1.2,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,10.1,2.8,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,2,3,0,0,0,1,0.5,0.08,0,0.17,0,0,13
1,4.8,0.6,0,1.2,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,10.1,2.8,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,2,3,0,0,0,1,0.5,0.08,0,0.17,1,0,0,0,0,0,1,0.08,0,0.18,0,0,14
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.17,1,10.1,2.8,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,2,3,0,0,0,1,0.5,0.08,0,0.17,1,0,0,0,0,0,1,0.08,0,0.18,1,5,0,0,1,0,0,0.09,0,0.17,0,0,15
1,0,0,0,0,1,0,0.1,0,0.17,1,10.1,2.8,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,2,3,0,0,0,1,0.5,0.08,0,0.17,1,0,0,0,0,0,1,0.08,0,0.18,1,5,0,0,1,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,16
1,10.1,2.8,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,2,3,0,0,0,1,0.5,0.08,0,0.17,1,0,0,0,0,0,1,0.08,0,0.18,1,5,0,0,1,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,0,0,17
1,0,0,0,0,0,1,0.09,0,0.16,2,3,0,0,0,1,0.5,0.08,0,0.17,1,0,0,0,0,0,1,0.08,0,0.18,1,5,0,0,1,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,18
2,3,0,0,0,1,0.5,0.08,0,0.17,1,0,0,0,0,0,1,0.08,0,0.18,1,5,0,0,1,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1,0.09,0,0.18,0,0,19
1,0,0,0,0,0,1,0.08,0,0.18,1,5,0,0,1,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1,0.09,0,0.18,1,10.1,5.1,0,0,1,0,0.1,0,0.18,0,0,20
1,5,0,0,1,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1,0.09,0,0.18,1,10.1,5.1,0,0,1,0,0.1,0,0.18,1,0,0,0,0,0,1,0.08,0,0.18,0,0,21
